Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Originalauflösungen;∅ Anrainer DE/LU [€/MWh] Originalauflösungen;Belgien [€/MWh] Originalauflösungen;Dänemark 1 [€/MWh] Originalauflösungen;Dänemark 2 [€/MWh] Originalauflösungen;Frankreich [€/MWh] Originalauflösungen;Niederlande [€/MWh] Originalauflösungen;Norwegen 2 [€/MWh] Originalauflösungen;Österreich [€/MWh] Originalauflösungen;Polen [€/MWh] Originalauflösungen;Schweden 4 [€/MWh] Originalauflösungen;Schweiz [€/MWh] Originalauflösungen;Tschechien [€/MWh] Originalauflösungen;DE/AT/LU [€/MWh] Originalauflösungen;Italien (Nord) [€/MWh] Berechnete Auflösungen;Slowenien [€/MWh] Originalauflösungen;Ungarn [€/MWh] Originalauflösungen
01.01.2023 00:00;01.01.2023 01:00;-5,17;13,85;-4,39;2,01;2,01;0,00;-3,61;119,32;12,06;18,09;2,01;0,03;4,84;-;195,90;13,31;19,76
01.01.2023 01:00;01.01.2023 02:00;-1,07;9,79;-1,75;1,38;1,38;-0,10;-1,46;108,83;-0,10;5,75;1,38;-7,25;-0,35;-;191,09;-0,07;0,19
01.01.2023 02:00;01.01.2023 03:00;-1,47;8,91;-1,46;0,09;0,09;-1,33;-1,52;102,39;-0,66;5,27;0,09;-3,99;-0,97;-;187,95;-0,47;0,07
01.01.2023 03:00;01.01.2023 04:00;-5,08;6,58;-5,27;0,08;0,08;-4,08;-5,00;92,36;-1,99;5,74;0,08;-7,71;-1,93;-;187,82;-1,56;0,01
01.01.2023 04:00;01.01.2023 05:00;-4,49;5,42;-4,41;0,05;0,05;-4,16;-4,60;82,66;-2,42;5,22;0,05;-9,71;-3,07;-;187,74;-1,94;-0,77
01.01.2023 05:00;01.01.2023 06:00;-5,40;4,91;-5,40;0,00;0,08;-3,58;-4,05;79,58;-1,86;6,14;0,08;-15,15;-1,86;-;187,74;-1,42;0,01
01.01.2023 06:00;01.01.2023 07:00;-5,02;4,45;-4,69;-0,38;0,09;-4,37;-3,60;77,65;-3,35;5,31;0,09;-14,33;-3,44;-;187,22;-2,97;-2,56
01.01.2023 07:00;01.01.2023 08:00;-1,30;6,43;-1,31;0,00;0,53;-0,12;0,00;66,27;0,00;5,99;0,53;-0,66;-0,47;-;187,82;-0,12;0,02
01.01.2023 08:00;01.01.2023 09:00;-1,44;8,13;-1,57;0,00;2,03;-0,06;0,00;80,89;-0,22;6,63;2,03;0,02;-0,30;-;186,47;-0,06;0,30
01.01.2023 09:00;01.01.2023 10:00;-1,09;9,54;-1,03;0,04;3,10;0,00;0,00;93,73;0,29;6,64;3,10;-1,23;0,26;-;186,47;0,47;0,95
01.01.2023 10:00;01.01.2023 11:00;-1,07;10,63;-0,23;0,80;4,43;0,00;0,99;106,05;0,73;5,17;4,43;-6,11;0,69;-;177,25;0,94;1,60
01.01.2023 11:00;01.01.2023 12:00;-1,07;12,68;-0,74;0,08;6,06;0,00;0,58;116,28;1,14;8,53;6,06;0,28;1,17;-;168,50;1,41;2,32
01.01.2023 12:00;01.01.2023 13:00;-0,79;13,46;-0,57;0,04;6,06;0,00;0,04;120,02;1,34;10,72;6,06;2,96;1,34;-;173,00;1,59;2,43
01.01.2023 13:00;01.01.2023 14:00;-0,27;13,62;-0,12;0,00;5,68;0,10;0,00;122,17;1,53;14,06;5,68;-0,79;1,53;-;165,89;1,78;2,56
01.01.2023 14:00;01.01.2023 15:00;0,85;20,96;0,85;0,85;17,71;1,50;0,85;120,11;5,78;56,41;17,71;3,06;5,78;-;179,73;6,41;9,96
01.01.2023 15:00;01.01.2023 16:00;23,53;37,43;23,50;23,53;24,11;23,50;23,53;120,71;23,85;91,66;24,11;9,53;23,72;-;188,06;23,76;23,87
01.01.2023 16:00;01.01.2023 17:00;36,54;48,37;36,54;36,54;36,54;36,54;36,54;121,98;36,54;97,81;36,54;19,95;36,54;-;193,67;36,54;36,54
01.01.2023 17:00;01.01.2023 18:00;46,03;56,63;46,03;46,03;46,03;46,03;46,03;122,16;46,03;102,08;46,03;30,46;46,03;-;213,36;46,03;46,03
01.01.2023 18:00;01.01.2023 19:00;55,57;65,05;36,64;55,57;55,57;44,43;99,90;121,77;52,71;106,34;54,23;34,39;53,99;-;229,99;52,31;53,35
01.01.2023 19:00;01.01.2023 20:00;54,95;63,92;54,95;54,95;54,95;54,95;54,95;121,01;54,95;108,73;53,63;35,15;54,95;-;243,42;54,95;54,95
01.01.2023 20:00;01.01.2023 21:00;49,23;59,69;45,83;49,23;49,23;47,38;62,00;120,40;49,05;106,65;48,05;29,57;49,16;-;235,00;48,96;49,08
01.01.2023 21:00;01.01.2023 22:00;44,99;55,00;36,57;44,99;44,99;40,24;52,93;119,60;44,14;107,42;44,68;24,92;44,56;-;203,25;43,94;44,32
01.01.2023 22:00;01.01.2023 23:00;45,96;55,31;45,96;45,96;45,96;45,96;45,96;116,24;45,96;103,81;45,96;20,72;45,96;-;190,85;45,96;45,96
01.01.2023 23:00;02.01.2023 00:00;35,00;45,39;35,00;35,00;35,00;35,00;35,00;115,45;35,00;90,35;35,00;13,46;35,00;-;187,28;35,00;35,00
