,date,battery_capacity_gwh
0,2023-01-01,6.721
1,2023-02-01,7.098
2,2023-03-01,7.591
3,2023-04-01,8.034
4,2023-05-01,8.536
5,2023-06-01,9.111
6,2023-07-01,9.657
7,2023-08-01,10.204
8,2023-09-01,10.798
9,2023-10-01,11.338
10,2023-11-01,11.918
11,2023-12-01,12.279
12,2024-01-01,12.826
13,2024-02-01,13.264
14,2024-03-01,13.712
15,2024-04-01,14.248
16,2024-05-01,14.724
17,2024-06-01,15.238
18,2024-07-01,15.805
19,2024-08-01,16.285
20,2024-09-01,16.715
21,2024-10-01,17.15
22,2024-11-01,17.706
23,2024-12-01,18.287
