Datum von;Datum bis;Gesamt [MWh] Originalauflösungen;Photovoltaik und Wind [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige [MWh] Originalauflösungen
01.01.2023 00:00;01.01.2023 01:00;56.012,00;38.993,75;3.478,25;35.515,50;0,00;17.018,25
01.01.2023 01:00;01.01.2023 02:00;56.152,00;38.734,75;3.390,25;35.344,50;0,00;17.417,25
01.01.2023 02:00;01.01.2023 03:00;53.669,00;38.534,25;3.395,50;35.138,75;0,00;15.134,75
01.01.2023 03:00;01.01.2023 04:00;52.712,00;37.851,25;3.410,25;34.441,00;0,00;14.860,75
01.01.2023 04:00;01.01.2023 05:00;51.940,00;37.329,25;3.431,25;33.898,00;0,00;14.610,75
01.01.2023 05:00;01.01.2023 06:00;51.219,00;36.810,00;3.454,25;33.355,75;0,00;14.409,00
01.01.2023 06:00;01.01.2023 07:00;52.643,00;36.414,25;3.464,00;32.950,25;0,00;16.228,75
01.01.2023 07:00;01.01.2023 08:00;53.383,00;35.055,75;3.475,75;31.580,00;0,00;18.327,25
01.01.2023 08:00;01.01.2023 09:00;55.646,00;34.871,50;3.484,25;30.716,75;670,50;20.774,50
01.01.2023 09:00;01.01.2023 10:00;59.149,00;37.106,25;3.486,75;29.622,00;3.997,50;22.042,75
01.01.2023 10:00;01.01.2023 11:00;61.953,00;39.569,00;3.489,25;28.180,75;7.899,00;22.384,00
01.01.2023 11:00;01.01.2023 12:00;63.292,00;40.520,00;3.497,00;26.446,75;10.576,25;22.772,00
01.01.2023 12:00;01.01.2023 13:00;62.106,00;38.913,00;3.554,25;24.255,50;11.103,25;23.193,00
01.01.2023 13:00;01.01.2023 14:00;57.032,00;34.958,50;3.566,75;21.991,25;9.400,50;22.073,50
01.01.2023 14:00;01.01.2023 15:00;53.130,00;31.350,25;5.507,75;19.866,50;5.976,00;21.779,75
01.01.2023 15:00;01.01.2023 16:00;49.885,00;26.344,75;5.690,00;18.309,00;2.345,75;23.540,25
01.01.2023 16:00;01.01.2023 17:00;48.547,00;23.570,25;5.670,75;17.631,25;268,25;24.976,75
01.01.2023 17:00;01.01.2023 18:00;50.069,00;23.297,25;5.548,75;17.748,50;0,00;26.771,75
01.01.2023 18:00;01.01.2023 19:00;51.434,00;23.718,00;5.404,50;18.313,50;0,00;27.716,00
01.01.2023 19:00;01.01.2023 20:00;52.114,00;24.128,50;5.297,00;18.831,50;0,00;27.985,50
01.01.2023 20:00;01.01.2023 21:00;51.091,00;23.434,00;5.180,25;18.253,75;0,00;27.657,00
01.01.2023 21:00;01.01.2023 22:00;49.965,00;23.038,75;4.990,25;18.048,50;0,00;26.926,25
01.01.2023 22:00;01.01.2023 23:00;49.440,00;22.747,50;4.637,00;18.110,50;0,00;26.692,50
01.01.2023 23:00;02.01.2023 00:00;47.463,00;22.702,75;4.193,00;18.509,75;0,00;24.760,25
02.01.2023 00:00;02.01.2023 01:00;44.218,00;20.766,00;3.408,00;17.358,00;0,00;23.452,00
02.01.2023 01:00;02.01.2023 02:00;43.158,00;20.469,25;2.339,50;18.129,75;0,00;22.688,75
02.01.2023 02:00;02.01.2023 03:00;43.662,00;21.138,25;1.723,25;19.415,00;0,00;22.523,75
02.01.2023 03:00;02.01.2023 04:00;42.952,00;22.237,50;1.359,75;20.877,75;0,00;20.714,50
02.01.2023 04:00;02.01.2023 05:00;43.866,00;23.284,25;1.142,00;22.142,25;0,00;20.581,75
02.01.2023 05:00;02.01.2023 06:00;46.297,00;24.276,75;1.098,75;23.178,00;0,00;22.020,25
02.01.2023 06:00;02.01.2023 07:00;52.929,00;25.680,25;1.259,50;24.420,75;0,00;27.248,75
02.01.2023 07:00;02.01.2023 08:00;58.597,00;26.402,00;1.437,25;24.964,75;0,00;32.195,00
02.01.2023 08:00;02.01.2023 09:00;61.821,00;27.600,75;1.596,50;25.387,75;616,50;34.220,25
02.01.2023 09:00;02.01.2023 10:00;64.513,00;30.865,75;1.828,75;25.455,25;3.581,75;33.647,25
02.01.2023 10:00;02.01.2023 11:00;67.017,00;34.245,50;2.226,75;25.062,75;6.956,00;32.771,50
02.01.2023 11:00;02.01.2023 12:00;68.692,00;36.421,75;2.803,00;24.563,50;9.055,25;32.270,25
02.01.2023 12:00;02.01.2023 13:00;67.976,00;36.401,00;3.411,25;23.972,75;9.017,00;31.575,00
02.01.2023 13:00;02.01.2023 14:00;65.673,00;34.393,25;3.983,75;23.342,00;7.067,50;31.279,75
02.01.2023 14:00;02.01.2023 15:00;63.304,00;31.351,25;4.467,50;22.633,50;4.250,25;31.952,75
02.01.2023 15:00;02.01.2023 16:00;61.649,00;28.746,75;4.763,75;22.369,75;1.613,25;32.902,25
02.01.2023 16:00;02.01.2023 17:00;62.860,00;27.326,75;4.849,75;22.302,50;174,50;35.533,25
