Zeit,Netzlast (MWh),Nettoexport (MW)
2023-01-01 00:00:00,38346.0,12000.810000000001
2023-01-01 01:00:00,37777.25,14243.95
2023-01-01 02:00:00,36939.75,13898.51
2023-01-01 03:00:00,35932.5,12278.83
2023-01-01 04:00:00,35486.25,12177.08
2023-01-01 05:00:00,35647.25,11980.67
2023-01-01 06:00:00,35231.75,12058.8
2023-01-01 07:00:00,36172.25,13077.81
2023-01-01 08:00:00,36829.25,11334.26
2023-01-01 09:00:00,39226.5,12131.48
2023-01-01 10:00:00,41005.5,12044.28
2023-01-01 11:00:00,43703.0,11561.72
2023-01-01 12:00:00,44205.75,10177.630000000001
2023-01-01 13:00:00,43621.75,8862.18
2023-01-01 14:00:00,43231.5,8848.03
2023-01-01 15:00:00,43691.75,8095.6
2023-01-01 16:00:00,45668.75,5773.18
2023-01-01 17:00:00,48732.0,2567.1000000000004
2023-01-01 18:00:00,48882.0,2026.3100000000004
2023-01-01 19:00:00,47468.5,2246.0299999999997
2023-01-01 20:00:00,44883.5,2412.3300000000004
2023-01-01 21:00:00,43222.75,3729.71
2023-01-01 22:00:00,42278.0,3208.830000000001
2023-01-01 23:00:00,39092.75,3741.24
2023-01-02 00:00:00,36789.75,2430.0299999999997
2023-01-02 01:00:00,35423.75,2490.1199999999994
2023-01-02 02:00:00,35284.25,4237.049999999999
2023-01-02 03:00:00,36058.5,4596.84
2023-01-02 04:00:00,37796.0,5945.3499999999985
2023-01-02 05:00:00,40899.0,5055.85
2023-01-02 06:00:00,47069.5,5795.05
2023-01-02 07:00:00,52317.25,6664.3099999999995
2023-01-02 08:00:00,56231.0,6609.86
2023-01-02 09:00:00,57444.75,9303.75
2023-01-02 10:00:00,59241.0,11652.039999999999
2023-01-02 11:00:00,60654.5,12235.48
2023-01-02 12:00:00,61571.75,9774.96
2023-01-02 13:00:00,60448.0,9253.32
2023-01-02 14:00:00,59188.25,8809.779999999999
2023-01-02 15:00:00,59014.0,6699.2699999999995
2023-01-02 16:00:00,59885.5,6416.37
2023-01-02 17:00:00,61094.0,7291.35
2023-01-02 18:00:00,60650.25,7806.26
2023-01-02 19:00:00,59584.0,8039.4
2023-01-02 20:00:00,56001.0,7360.99
2023-01-02 21:00:00,53154.25,7727.169999999999
2023-01-02 22:00:00,50189.5,8179.200000000001
2023-01-02 23:00:00,47103.5,9088.6
2023-01-03 00:00:00,44238.25,8000.439999999999
2023-01-03 01:00:00,42383.5,8741.6
2023-01-03 02:00:00,41816.5,6075.82
2023-01-03 03:00:00,41849.75,4986.719999999999
2023-01-03 04:00:00,43469.0,2801.38
2023-01-03 05:00:00,45864.5,1812.4800000000005
2023-01-03 06:00:00,50854.75,1296.0299999999997
2023-01-03 07:00:00,55893.0,331.75
2023-01-03 08:00:00,58364.25,-521.4299999999998
2023-01-03 09:00:00,59363.25,1065.15
2023-01-03 10:00:00,60057.25,1785.9599999999996
2023-01-03 11:00:00,60964.75,3130.34
2023-01-03 12:00:00,60692.75,1817.9900000000002
2023-01-03 13:00:00,59218.0,1812.9499999999998
2023-01-03 14:00:00,58408.5,706.9000000000005
2023-01-03 15:00:00,58068.25,-929.3000000000002
2023-01-03 16:00:00,59324.0,-1673.27
2023-01-03 17:00:00,61914.5,1137.54
2023-01-03 18:00:00,61545.5,1278.2000000000003
2023-01-03 19:00:00,59743.25,2285.9900000000002
2023-01-03 20:00:00,56607.75,6747.35
2023-01-03 21:00:00,53669.0,7380.94
2023-01-03 22:00:00,51470.25,8759.550000000001
2023-01-03 23:00:00,48352.0,9989.33
2023-01-04 00:00:00,46164.5,7380.75
2023-01-04 01:00:00,44741.75,8631.84
2023-01-04 02:00:00,44259.75,8809.26
2023-01-04 03:00:00,45149.75,7311.470000000001
2023-01-04 04:00:00,46925.0,6763.28
2023-01-04 05:00:00,49768.5,8602.579999999998
2023-01-04 06:00:00,55701.75,11911.970000000001
2023-01-04 07:00:00,60084.5,12460.85
2023-01-04 08:00:00,63147.0,13643.24
2023-01-04 09:00:00,64182.0,13599.960000000001
2023-01-04 10:00:00,65557.75,12353.99
2023-01-04 11:00:00,66892.0,12740.5
2023-01-04 12:00:00,67097.75,12503.73
2023-01-04 13:00:00,65934.5,11411.67
2023-01-04 14:00:00,65008.25,11246.47
2023-01-04 15:00:00,64415.25,11488.439999999999
2023-01-04 16:00:00,64619.5,11670.41
2023-01-04 17:00:00,66606.5,13236.14
2023-01-04 18:00:00,66148.0,11507.619999999999
2023-01-04 19:00:00,64006.5,12349.279999999999
2023-01-04 20:00:00,60363.0,12986.66
2023-01-04 21:00:00,57242.25,13515.48
2023-01-04 22:00:00,54584.25,14153.79
2023-01-04 23:00:00,51435.5,15266.81
2023-01-05 00:00:00,46678.5,13768.0
2023-01-05 01:00:00,44609.0,15153.970000000001
2023-01-05 02:00:00,44660.0,15106.0
2023-01-05 03:00:00,45043.75,14418.460000000001
2023-01-05 04:00:00,46173.0,14836.86
2023-01-05 05:00:00,48272.75,15786.74
2023-01-05 06:00:00,53112.0,15374.6
2023-01-05 07:00:00,59100.0,13949.61
2023-01-05 08:00:00,61424.75,13309.48
2023-01-05 09:00:00,62114.5,12878.169999999998
2023-01-05 10:00:00,62525.25,10707.08
2023-01-05 11:00:00,63951.5,9429.029999999999
2023-01-05 12:00:00,64238.0,8353.34
2023-01-05 13:00:00,62460.5,6707.74
2023-01-05 14:00:00,60916.0,4154.120000000001
2023-01-05 15:00:00,59913.0,-489.93000000000075
2023-01-05 16:00:00,60113.75,-4002.1800000000003
2023-01-05 17:00:00,62282.25,-5307.5599999999995
2023-01-05 18:00:00,61968.0,-5460.780000000001
2023-01-05 19:00:00,59748.75,-4827.799999999999
2023-01-05 20:00:00,56451.25,-3632.0499999999997
2023-01-05 21:00:00,52788.75,-3767.37
2023-01-05 22:00:00,49974.25,-3577.36
2023-01-05 23:00:00,46587.25,-3553.84
2023-01-06 00:00:00,43962.0,169.80000000000018
2023-01-06 01:00:00,42095.5,1602.3600000000006
2023-01-06 02:00:00,41584.75,3031.9100000000003
2023-01-06 03:00:00,42296.75,1864.4100000000008
2023-01-06 04:00:00,43703.0,2028.5900000000001
2023-01-06 05:00:00,45916.5,4339.069999999999
2023-01-06 06:00:00,49969.75,6663.380000000001
2023-01-06 07:00:00,53778.25,8342.31
2023-01-06 08:00:00,56497.5,9746.91
2023-01-06 09:00:00,58189.0,10448.920000000002
2023-01-06 10:00:00,59970.0,11150.07
2023-01-06 11:00:00,61298.0,11581.75
2023-01-06 12:00:00,61185.25,11474.73
2023-01-06 13:00:00,59553.75,11316.92
2023-01-06 14:00:00,58428.25,9809.91
2023-01-06 15:00:00,57361.5,8614.220000000001
2023-01-06 16:00:00,57969.5,7214.17
2023-01-06 17:00:00,59909.5,7468.3099999999995
2023-01-06 18:00:00,60527.0,5390.849999999999
2023-01-06 19:00:00,58109.0,4777.16
2023-01-06 20:00:00,54721.0,3636.870000000001
2023-01-06 21:00:00,52406.5,2948.8899999999994
2023-01-06 22:00:00,50126.75,2496.7400000000007
2023-01-06 23:00:00,46624.25,17.229999999999563
2023-01-07 00:00:00,43201.0,-266.4200000000001
2023-01-07 01:00:00,41185.25,334.25
2023-01-07 02:00:00,40162.25,-138.05000000000018
2023-01-07 03:00:00,39778.25,-883.5600000000004
2023-01-07 04:00:00,40120.75,-1222.92
2023-01-07 05:00:00,40901.75,-1469.5500000000002
2023-01-07 06:00:00,41720.5,333.0400000000009
2023-01-07 07:00:00,44499.25,1325.409999999999
2023-01-07 08:00:00,47370.0,603.9099999999999
2023-01-07 09:00:00,50230.75,976.8999999999996
2023-01-07 10:00:00,51914.0,2724.21
2023-01-07 11:00:00,53639.25,2263.2299999999996
2023-01-07 12:00:00,53693.75,1664.4000000000005
2023-01-07 13:00:00,52312.0,3078.6499999999996
2023-01-07 14:00:00,50279.75,2071.04
2023-01-07 15:00:00,50658.5,639.789999999999
2023-01-07 16:00:00,52149.25,1560.6899999999996
2023-01-07 17:00:00,55371.0,4027.34
2023-01-07 18:00:00,56110.25,4999.5599999999995
2023-01-07 19:00:00,54536.0,5613.240000000001
2023-01-07 20:00:00,51743.5,6280.65
2023-01-07 21:00:00,49493.75,5386.75
2023-01-07 22:00:00,47884.5,5440.14
2023-01-07 23:00:00,44757.25,5603.25
2023-01-08 00:00:00,42509.0,5904.24
2023-01-08 01:00:00,40708.5,6557.870000000001
2023-01-08 02:00:00,39829.75,6617.75
2023-01-08 03:00:00,40059.5,4991.130000000001
2023-01-08 04:00:00,40147.0,3962.7200000000003
2023-01-08 05:00:00,40020.0,3013.1900000000005
2023-01-08 06:00:00,39918.75,2855.340000000001
2023-01-08 07:00:00,41043.0,2374.580000000001
2023-01-08 08:00:00,43704.75,1102.9300000000003
2023-01-08 09:00:00,47136.5,2096.1500000000005
2023-01-08 10:00:00,49466.5,2365.33
2023-01-08 11:00:00,52035.75,2745.979999999999
2023-01-08 12:00:00,51772.0,1789.6099999999997
2023-01-08 13:00:00,50231.25,1180.58
2023-01-08 14:00:00,48623.25,646.3400000000001
2023-01-08 15:00:00,48433.75,1473.58
2023-01-08 16:00:00,50304.75,905.8800000000001
2023-01-08 17:00:00,54134.0,1359.210000000001
2023-01-08 18:00:00,55436.75,1857.2299999999996
2023-01-08 19:00:00,53863.75,2863.2
2023-01-08 20:00:00,51462.75,4219.070000000001
2023-01-08 21:00:00,49194.5,4027.95
2023-01-08 22:00:00,47953.25,3399.58
2023-01-08 23:00:00,45160.0,2953.79
2023-01-09 00:00:00,43481.75,2167.7500000000005
2023-01-09 01:00:00,42441.0,1821.4299999999998
2023-01-09 02:00:00,42161.25,2138.91
2023-01-09 03:00:00,42423.0,1969.7200000000003
2023-01-09 04:00:00,43800.5,1057.8400000000001
